match_id,season_id,home_team_id,home_team_goal
1032850,3,9989,2
1032851,3,9984,3
1032852,3,8342,0
1032853,3,9987,2
1032854,3,9991,0
1032855,3,9993,4
1032856,3,9994,2
1032857,3,8571,0
1032858,3,9998,2
1032859,3,10001,0
1032860,3,8342,3
1032861,3,8635,3
1032862,3,9985,2
1032863,3,9997,0
1032864,3,1773,0
1032865,3,8203,3
1032866,3,9989,2
1032867,3,10000,1
1032868,3,9987,5
1032869,3,9991,6
1032870,3,9993,0
1032871,3,9994,3
1032872,3,8571,0
1032873,3,9998,0
1032874,3,10001,0
1032875,3,9984,0
1032876,3,8342,5
1032877,3,8635,4
